shot_index,name,sample_25_seconds,sample_75_seconds,finding
0,First light,2.4,7.199999999999999,"Full establishing composition; performer, piano and bench contained."
1,The first phrase,12,16.799999999999997,Face and hands clear; instrument/furniture crops suit the medium view.
2,Hands · melody,21.6,26.4,"Corrected: both hands visible at 25%, 75% and 98%; far hand near top edge at 25% but complete."
3,A quiet beginning,31.2,36,Opposite-side medium; face and keyboard clear. Piano body crop is intentional.
4,Toward the horizon,40.8,45.6,Revised pullback contains raised lid and feet; earlier tight-wide concern resolved.
5,Across the strings,50.4,55.2,Elevated instrument detail; lid occupies foreground without hiding the face. Partial hand coverage fits the instrument-focused shot.
6,Daybreak,60,64.8,Complete performer/piano wide at both samples.
7,Weight and touch,69.6,74.4,Both hands and keyboard clear; head excluded cleanly for detail.
8,In the light,79.2,84,Opposite-side wide remains legible; no lid/performer obstruction.
9,Afterglow,88.80000000000001,93.6,Face clear of lid and frame edges at both samples.
10,The road behind,98.4,103.19999999999999,Face and hands clear in the side medium.
11,Left hand,108,112.8,Left-hand emphasis with both hands visible; forearms remain connected in frame.
12,One more breath,117.6,122.4,Medium-to-wide framing stays clear; early furniture crop is acceptable for the medium.
13,Daybreak · reprise,127.2,132,Complete rear three-quarter wide at both samples.
14,Reprise · hands,136.8,141.6,"Corrected: both hands visible at 25%, 75% and 98%; updated portrait also retains both."
15,Before the sun,146.4,151.2,Face insert remains clear; piano/lid edges do not cover facial features.
16,A held breath,156,160.79999999999998,Tight side view preserves face and hands; piano-body crop reads as intentional.
17,Everything opens,165.6,170.4,Wide rise keeps the performer and piano contained.
18,The lift,175.20000000000002,180,Hand detail keeps both hands visible; top crop is at neck rather than an accidental face fragment.
19,Full light,184.8,189.6,Complete opposite-side wide at both samples.
20,The final phrase,194.4,199.2,Medium-wide keeps face and hands clear; foreground leg crop does not impair the performance view.
21,Home in the light,204.1839925,209.3519775,Revised higher hand camera retains both hands and removes the earlier incidental chin fragment.
22,The last phrase,214.211065,218.761255,Coda medium keeps face and hands clear; partial piano/lid crop is intentional.
23,Daybreak · ending,223.03635,227.03635,"Ending pullback contains performer, bench and piano at both samples."
